INFO - asvspoof19 - Running command 'main'
INFO - asvspoof19 - Started run with ID "24"
squeeze-and-excitation network
===> Model total parameter: 1344276
Epoch: [1][0/844]	Time 6.460 (6.460)	Data 2.600 (2.600)	LR 0.000004	Loss 0.8044 (0.8044)	Acc@1 1.953 (1.953)
Test: [4300/134730]	Time 0.024 (0.023)	Loss 0.1672 (0.4050)	Acc@1 100.000 (86.286)
Test: [4400/134730]	Time 0.031 (0.023)	Loss 0.1853 (0.4018)	Acc@1 100.000 (86.481)
Test: [4500/134730]	Time 0.028 (0.023)	Loss 0.1836 (0.4028)	Acc@1 100.000 (86.416)
Test: [4600/134730]	Time 0.015 (0.023)	Loss 0.1906 (0.4007)	Acc@1 100.000 (86.550)
Test: [4700/134730]	Time 0.014 (0.023)	Loss 0.1873 (0.3996)	Acc@1 100.000 (86.616)
Test: [4800/134730]	Time 0.016 (0.023)	Loss 0.1836 (0.3985)	Acc@1 100.000 (86.696)
Test: [4900/134730]	Time 0.024 (0.023)	Loss 0.1951 (0.3983)	Acc@1 100.000 (86.707)
Test: [5000/134730]	Time 0.015 (0.023)	Loss 0.1890 (0.3980)	Acc@1 100.000 (86.736)
Test: [5100/134730]	Time 0.022 (0.023)	Loss 0.2047 (0.3991)	Acc@1 100.000 (86.669)
Test: [5200/134730]	Time 0.016 (0.023)	Loss 0.1786 (0.4004)	Acc@1 100.000 (86.597)
Test: [5300/134730]	Time 0.028 (0.023)	Loss 0.2027 (0.4002)	Acc@1 100.000 (86.608)
Test: [5400/134730]	Time 0.015 (0.023)	Loss 0.1711 (0.4008)	Acc@1 100.000 (86.569)
Test: [5500/134730]	Time 0.014 (0.023)	Loss 0.1762 (0.4004)	Acc@1 100.000 (86.585)
Test: [5600/134730]	Time 0.014 (0.023)	Loss 0.1920 (0.3991)	Acc@1 100.000 (86.661)
Test: [5700/134730]	Time 0.023 (0.023)	Loss 0.1788 (0.3996)	Acc@1 100.000 (86.631)
Test: [5800/134730]	Time 0.038 (0.023)	Loss 0.1545 (0.4020)	Acc@1 100.000 (86.483)
Test: [5900/134730]	Time 0.023 (0.023)	Loss 0.1707 (0.4016)	Acc@1 100.000 (86.503)
Test: [6000/134730]	Time 0.016 (0.023)	Loss 1.8147 (0.4013)	Acc@1 0.000 (86.516)
Test: [6100/134730]	Time 0.015 (0.023)	Loss 1.7725 (0.4003)	Acc@1 0.000 (86.571)
Test: [6200/134730]	Time 0.015 (0.023)	Loss 1.8961 (0.4003)	Acc@1 0.000 (86.570)
Test: [6300/134730]	Time 0.032 (0.023)	Loss 0.1606 (0.3990)	Acc@1 100.000 (86.648)
Test: [6400/134730]	Time 0.019 (0.023)	Loss 0.1891 (0.3988)	Acc@1 100.000 (86.658)
Test: [6500/134730]	Time 0.015 (0.023)	Loss 0.1901 (0.3992)	Acc@1 100.000 (86.630)
Test: [6600/134730]	Time 0.014 (0.023)	Loss 0.1676 (0.4004)	Acc@1 100.000 (86.557)
Test: [6700/134730]	Time 0.041 (0.023)	Loss 0.1673 (0.4005)	Acc@1 100.000 (86.544)
Test: [6800/134730]	Time 0.041 (0.023)	Loss 1.9512 (0.4019)	Acc@1 0.000 (86.468)
Test: [6900/134730]	Time 0.015 (0.023)	Loss 0.1939 (0.4007)	Acc@1 100.000 (86.536)
Test: [7000/134730]	Time 0.019 (0.023)	Loss 0.1622 (0.4005)	Acc@1 100.000 (86.549)
